
2025/03/16 (19:55:27) | ===> btop++ v.1.4.0
2025/03/16 (19:55:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/17 (08:37:00) | ===> btop++ v.1.4.0
2025/03/17 (08:37:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (10:56:01) | ===> btop++ v.1.4.0
2025/03/18 (10:56:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (10:58:14) | ===> btop++ v.1.4.0
2025/03/18 (10:58:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (11:07:54) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (11:08:30) | ===> btop++ v.1.4.0
2025/03/18 (11:08:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (11:10:27) | ===> btop++ v.1.4.0
2025/03/18 (11:10:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (21:07:57) | ===> btop++ v.1.4.0
2025/03/18 (21:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/18 (21:08:38) | ===> btop++ v.1.4.0
2025/03/18 (21:08:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/19 (18:46:54) | ===> btop++ v.1.4.0
2025/03/19 (18:46:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/20 (15:53:13) | ===> btop++ v.1.4.0
2025/03/20 (15:53:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (19:14:25) | ===> btop++ v.1.4.0
2025/03/21 (19:14:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
